

** [ETRI] Launch Training on 20230605_1912
{
  "HOST": "etri",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 300,
  "resumeWeight": "./model_weights/20230428_1504_NEW_DLV3PP_FINAL_EPOCH_300_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 5,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 30,
  "lr_scheduling": true,
  "lr": 0.001,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Experiment Comments Title\n  - Sub Comments Line1 \n  - Sub Comments Line2\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230606_0107 [EP 43/500] took: 0h:8m:14s, ETA: 2d:14h:42m:38s [TRAIN] loss: 0.0419, accu-50: 95.81%, iou: 91.97%, f1: 95.81% 809.10ms [EVAL] [1/138 step] loss: 0.0806, accu-50: 93.33%, iou: 84.41%, f1: 91.22%, 224.49ms
@20230606_0115 [EP 44/500] took: 0h:8m:14s, ETA: 2d:14h:34m:24s [TRAIN] loss: 0.0415, accu-50: 95.82%, iou: 92.04%, f1: 95.85% 809.46ms [EVAL] [1/138 step] loss: 0.1066, accu-50: 88.77%, iou: 80.07%, f1: 88.62%, 224.94ms
@20230606_0123 [EP 45/500] took: 0h:8m:14s, ETA: 2d:14h:26m:10s [TRAIN] loss: 0.0408, accu-50: 95.85%, iou: 92.17%, f1: 95.92% 809.11ms [EVAL] [1/138 step] loss: 0.1504, accu-50: 80.89%, iou: 73.24%, f1: 84.24%, 225.02ms
@20230606_0131 [EP 46/500] took: 0h:8m:13s, ETA: 2d:14h:10m:22s [TRAIN] loss: 0.0410, accu-50: 95.86%, iou: 92.14%, f1: 95.90% 809.15ms [EVAL] [1/138 step] loss: 0.0787, accu-50: 92.48%, iou: 84.72%, f1: 91.41%, 225.19ms
@20230606_0139 [EP 47/500] took: 0h:8m:13s, ETA: 2d:14h:2m:9s [TRAIN] loss: 0.0402, accu-50: 95.93%, iou: 92.28%, f1: 95.98% 809.12ms [EVAL] [1/138 step] loss: 0.0671, accu-50: 90.60%, iou: 86.72%, f1: 92.57%, 225.13ms
@20230606_0147 [EP 48/500] took: 0h:8m:13s, ETA: 2d:13h:53m:56s [TRAIN] loss: 0.0403, accu-50: 95.98%, iou: 92.26%, f1: 95.97% 809.58ms [EVAL] [1/138 step] loss: 0.0918, accu-50: 90.66%, iou: 82.55%, f1: 90.10%, 224.83ms
@20230606_0156 [EP 49/500] took: 0h:8m:13s, ETA: 2d:13h:45m:43s [TRAIN] loss: 0.0410, accu-50: 95.83%, iou: 92.14%, f1: 95.90% 809.36ms [EVAL] [1/138 step] loss: 0.1512, accu-50: 91.40%, iou: 73.19%, f1: 84.17%, 224.94ms
@20230606_0204 [EP 50/500] took: 0h:8m:13s, ETA: 2d:13h:37m:30s [TRAIN] loss: 0.0401, accu-50: 96.02%, iou: 92.30%, f1: 95.99% 809.64ms [EVAL] [1/138 step] loss: 0.0801, accu-50: 91.59%, iou: 84.49%, f1: 91.28%, 225.07ms
@20230606_0212 [EP 51/500] took: 0h:8m:13s, ETA: 2d:13h:29m:17s [TRAIN] loss: 0.0397, accu-50: 96.06%, iou: 92.38%, f1: 96.03% 809.72ms [EVAL] [1/138 step] loss: 0.0600, accu-50: 93.23%, iou: 87.99%, f1: 93.29%, 224.78ms
@20230606_0220 [EP 52/500] took: 0h:8m:13s, ETA: 2d:13h:21m:4s [TRAIN] loss: 0.0396, accu-50: 96.00%, iou: 92.39%, f1: 96.04% 809.31ms [EVAL] [1/138 step] loss: 0.1023, accu-50: 92.59%, iou: 80.80%, f1: 89.05%, 224.99ms
@20230606_0228 [EP 53/500] took: 0h:8m:13s, ETA: 2d:13h:12m:51s [TRAIN] loss: 0.0397, accu-50: 95.93%, iou: 92.37%, f1: 96.03% 809.30ms [EVAL] [1/138 step] loss: 0.0612, accu-50: 92.48%, iou: 87.76%, f1: 93.16%, 224.87ms
@20230606_0236 [EP 54/500] took: 0h:8m:13s, ETA: 2d:13h:4m:38s [TRAIN] loss: 0.0387, accu-50: 96.11%, iou: 92.56%, f1: 96.13% 809.42ms [EVAL] [1/138 step] loss: 0.0668, accu-50: 91.52%, iou: 86.78%, f1: 92.60%, 225.01ms
@20230606_0244 [EP 55/500] took: 0h:8m:12s, ETA: 2d:12h:49m:0s [TRAIN] loss: 0.0390, accu-50: 96.09%, iou: 92.51%, f1: 96.10% 809.53ms [EVAL] [1/138 step] loss: 0.0742, accu-50: 89.37%, iou: 85.49%, f1: 91.86%, 224.53ms
@20230606_0253 [EP 56/500] took: 0h:8m:12s, ETA: 2d:12h:40m:48s [TRAIN] loss: 0.0385, accu-50: 96.04%, iou: 92.59%, f1: 96.15% 809.10ms [EVAL] [1/138 step] loss: 0.0910, accu-50: 92.64%, iou: 82.64%, f1: 90.18%, 225.10ms
@20230606_0301 [EP 57/500] took: 0h:8m:12s, ETA: 2d:12h:32m:36s [TRAIN] loss: 0.0382, accu-50: 96.15%, iou: 92.66%, f1: 96.18% 809.15ms [EVAL] [1/138 step] loss: 0.0820, accu-50: 94.19%, iou: 84.17%, f1: 91.08%, 224.59ms
@20230606_0309 [EP 58/500] took: 0h:8m:12s, ETA: 2d:12h:24m:24s [TRAIN] loss: 0.0379, accu-50: 96.21%, iou: 92.70%, f1: 96.21% 809.32ms [EVAL] [1/138 step] loss: 0.0690, accu-50: 95.50%, iou: 86.40%, f1: 92.38%, 224.81ms
@20230606_0317 [EP 59/500] took: 0h:8m:12s, ETA: 2d:12h:16m:12s [TRAIN] loss: 0.0378, accu-50: 96.20%, iou: 92.73%, f1: 96.22% 809.25ms [EVAL] [1/138 step] loss: 0.0771, accu-50: 88.88%, iou: 85.00%, f1: 91.57%, 224.78ms
@20230606_0325 [EP 60/500] took: 0h:8m:12s, ETA: 2d:12h:8m:0s [TRAIN] loss: 0.0379, accu-50: 96.14%, iou: 92.70%, f1: 96.21% 809.34ms [EVAL] [1/138 step] loss: 0.0747, accu-50: 95.92%, iou: 85.41%, f1: 91.81%, 224.36ms
@20230606_0333 [EP 61/500] took: 0h:8m:12s, ETA: 2d:11h:59m:48s [TRAIN] loss: 0.0374, accu-50: 96.27%, iou: 92.79%, f1: 96.26% 809.06ms [EVAL] [1/138 step] loss: 0.0698, accu-50: 93.95%, iou: 86.26%, f1: 92.30%, 224.52ms
@20230606_0341 [EP 62/500] took: 0h:8m:12s, ETA: 2d:11h:51m:36s [TRAIN] loss: 0.0377, accu-50: 96.24%, iou: 92.75%, f1: 96.23% 809.31ms [EVAL] [1/138 step] loss: 0.2226, accu-50: 90.68%, iou: 63.22%, f1: 77.02%, 225.03ms
@20230606_0350 [EP 63/500] took: 0h:8m:12s, ETA: 2d:11h:43m:24s [TRAIN] loss: 0.0376, accu-50: 96.17%, iou: 92.76%, f1: 96.24% 809.32ms [EVAL] [1/138 step] loss: 0.0578, accu-50: 95.15%, iou: 88.38%, f1: 93.50%, 224.64ms
@20230606_0358 [EP 64/500] took: 0h:8m:12s, ETA: 2d:11h:35m:12s [TRAIN] loss: 0.0374, accu-50: 96.19%, iou: 92.80%, f1: 96.26% 809.54ms [EVAL] [1/138 step] loss: 0.0596, accu-50: 93.22%, iou: 88.05%, f1: 93.32%, 224.54ms
@20230606_0406 [EP 65/500] took: 0h:8m:12s, ETA: 2d:11h:27m:0s [TRAIN] loss: 0.0372, accu-50: 96.27%, iou: 92.84%, f1: 96.28% 809.45ms [EVAL] [1/138 step] loss: 0.3256, accu-50: 95.18%, iou: 50.68%, f1: 66.73%, 224.87ms
@20230606_0414 [EP 66/500] took: 0h:8m:12s, ETA: 2d:11h:18m:48s [TRAIN] loss: 0.0372, accu-50: 96.15%, iou: 92.84%, f1: 96.28% 809.49ms [EVAL] [1/138 step] loss: 0.0793, accu-50: 92.92%, iou: 84.62%, f1: 91.35%, 224.78ms
@20230606_0422 [EP 67/500] took: 0h:8m:12s, ETA: 2d:11h:10m:36s [TRAIN] loss: 0.0370, accu-50: 96.31%, iou: 92.87%, f1: 96.30% 809.27ms [EVAL] [1/138 step] loss: 0.0563, accu-50: 94.45%, iou: 88.63%, f1: 93.65%, 224.88ms
@20230606_0430 [EP 68/500] took: 0h:8m:12s, ETA: 2d:11h:2m:24s [TRAIN] loss: 0.0367, accu-50: 96.35%, iou: 92.93%, f1: 96.33% 809.54ms [EVAL] [1/138 step] loss: 0.0657, accu-50: 94.69%, iou: 86.97%, f1: 92.71%, 224.94ms
@20230606_0439 [EP 69/500] took: 0h:8m:12s, ETA: 2d:10h:54m:12s [TRAIN] loss: 0.0360, accu-50: 96.40%, iou: 93.06%, f1: 96.40% 809.60ms [EVAL] [1/138 step] loss: 0.0667, accu-50: 93.61%, iou: 86.79%, f1: 92.61%, 225.10ms
@20230606_0447 [EP 70/500] took: 0h:8m:11s, ETA: 2d:10h:38m:50s [TRAIN] loss: 0.0364, accu-50: 96.34%, iou: 92.99%, f1: 96.36% 809.19ms [EVAL] [1/138 step] loss: 0.0638, accu-50: 92.11%, iou: 87.30%, f1: 92.90%, 224.99ms
@20230606_0455 [EP 71/500] took: 0h:8m:11s, ETA: 2d:10h:30m:39s [TRAIN] loss: 0.0359, accu-50: 96.43%, iou: 93.08%, f1: 96.41% 809.47ms [EVAL] [1/138 step] loss: 0.0596, accu-50: 92.80%, iou: 88.06%, f1: 93.32%, 224.97ms
@20230606_0503 [EP 72/500] took: 0h:8m:11s, ETA: 2d:10h:22m:28s [TRAIN] loss: 0.0361, accu-50: 96.37%, iou: 93.04%, f1: 96.39% 809.35ms [EVAL] [1/138 step] loss: 0.1131, accu-50: 87.67%, iou: 79.03%, f1: 87.97%, 225.06ms
@20230606_0511 [EP 73/500] took: 0h:8m:11s, ETA: 2d:10h:14m:17s [TRAIN] loss: 0.0354, accu-50: 96.45%, iou: 93.16%, f1: 96.46% 809.24ms [EVAL] [1/138 step] loss: 0.0577, accu-50: 95.55%, iou: 88.39%, f1: 93.51%, 224.85ms
@20230606_0519 [EP 74/500] took: 0h:8m:11s, ETA: 2d:10h:6m:6s [TRAIN] loss: 0.0353, accu-50: 96.51%, iou: 93.19%, f1: 96.47% 809.43ms [EVAL] [1/138 step] loss: 0.0660, accu-50: 94.16%, iou: 86.92%, f1: 92.68%, 224.97ms
@20230606_0527 [EP 75/500] took: 0h:8m:11s, ETA: 2d:9h:57m:55s [TRAIN] loss: 0.0354, accu-50: 96.44%, iou: 93.17%, f1: 96.46% 809.68ms [EVAL] [1/138 step] loss: 0.0840, accu-50: 90.52%, iou: 83.82%, f1: 90.88%, 225.20ms
@20230606_0536 [EP 76/500] took: 0h:8m:11s, ETA: 2d:9h:49m:44s [TRAIN] loss: 0.0354, accu-50: 96.54%, iou: 93.17%, f1: 96.46% 809.17ms [EVAL] [1/138 step] loss: 0.1847, accu-50: 93.28%, iou: 68.32%, f1: 80.81%, 224.73ms
@20230606_0544 [EP 77/500] took: 0h:8m:11s, ETA: 2d:9h:41m:33s [TRAIN] loss: 0.0353, accu-50: 96.51%, iou: 93.20%, f1: 96.47% 809.25ms [EVAL] [1/138 step] loss: 0.0571, accu-50: 94.40%, iou: 88.49%, f1: 93.57%, 224.67ms
@20230606_0552 [EP 78/500] took: 0h:8m:11s, ETA: 2d:9h:33m:22s [TRAIN] loss: 0.0351, accu-50: 96.49%, iou: 93.23%, f1: 96.49% 809.46ms [EVAL] [1/138 step] loss: 0.0537, accu-50: 93.91%, iou: 89.11%, f1: 93.91%, 225.19ms
@20230606_0600 [EP 79/500] took: 0h:8m:11s, ETA: 2d:9h:25m:11s [TRAIN] loss: 0.0350, accu-50: 96.52%, iou: 93.24%, f1: 96.50% 809.52ms [EVAL] [1/138 step] loss: 0.7959, accu-50: 85.98%, iou: 11.19%, f1: 19.69%, 224.79ms
@20230606_0608 [EP 80/500] took: 0h:8m:11s, ETA: 2d:9h:17m:0s [TRAIN] loss: 0.0358, accu-50: 96.48%, iou: 93.10%, f1: 96.42% 809.17ms [EVAL] [1/138 step] loss: 0.4001, accu-50: 91.65%, iou: 42.61%, f1: 59.27%, 224.77ms
@20230606_0616 [EP 81/500] took: 0h:8m:11s, ETA: 2d:9h:8m:49s [TRAIN] loss: 0.0352, accu-50: 96.57%, iou: 93.21%, f1: 96.48% 809.30ms [EVAL] [1/138 step] loss: 0.0692, accu-50: 90.81%, iou: 86.37%, f1: 92.36%, 224.91ms
@20230606_0625 [EP 82/500] took: 0h:8m:11s, ETA: 2d:9h:0m:38s [TRAIN] loss: 0.0354, accu-50: 96.46%, iou: 93.17%, f1: 96.46% 809.24ms [EVAL] [1/138 step] loss: 0.0587, accu-50: 92.29%, iou: 88.21%, f1: 93.41%, 224.82ms
