

** [etri] Launch Training on 20230610_1522
{
  "HOST": "etri",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 5,
  "Flag": true,
  "p": 0.4,
  "acc_thresh": 0.5,
  "batch_size": 30,
  "lr_scheduling": true,
  "lr": 0.005408663768321276,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Augmentation Reinforced\n  - Image Blur Feature Added \n  - Sub Comments Line2\n",
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3.yaml"
}
@20230610_1920 [EP 28/500] took: 0h:8m:28s, ETA: 2d:18h:36m:16s [TRAIN] loss: 0.0504, accu-50: 94.88%, iou: 90.42%, f1: 94.96% 810.83ms [EVAL] [138/138 step] loss: 0.1597, accu-50: 84.61%, iou: 72.58%, f1: 84.03%, 226.61ms
@20230610_1928 [EP 29/500] took: 0h:8m:27s, ETA: 2d:18h:19m:57s [TRAIN] loss: 0.0513, accu-50: 94.90%, iou: 90.26%, f1: 94.87% 811.15ms [EVAL] [138/138 step] loss: 0.1753, accu-50: 79.88%, iou: 70.30%, f1: 82.47%, 226.03ms
@20230610_1936 [EP 30/500] took: 0h:8m:27s, ETA: 2d:18h:11m:30s [TRAIN] loss: 0.0495, accu-50: 94.92%, iou: 90.59%, f1: 95.05% 811.16ms [EVAL] [138/138 step] loss: 0.0750, accu-50: 90.80%, iou: 86.07%, f1: 92.50%, 226.45ms
@20230610_1944 [EP 31/500] took: 0h:8m:26s, ETA: 2d:17h:55m:14s [TRAIN] loss: 0.0497, accu-50: 95.02%, iou: 90.54%, f1: 95.03% 810.86ms [EVAL] [138/138 step] loss: 0.1456, accu-50: 84.76%, iou: 74.70%, f1: 85.44%, 226.71ms
@20230610_1953 [EP 32/500] took: 0h:8m:26s, ETA: 2d:17h:46m:48s [TRAIN] loss: 0.0481, accu-50: 95.10%, iou: 90.84%, f1: 95.19% 810.93ms [EVAL] [138/138 step] loss: 0.3799, accu-50: 80.53%, iou: 45.51%, f1: 62.01%, 226.10ms
@20230610_2001 [EP 33/500] took: 0h:8m:25s, ETA: 2d:17h:30m:35s [TRAIN] loss: 0.0488, accu-50: 94.91%, iou: 90.71%, f1: 95.12% 810.96ms [EVAL] [138/138 step] loss: 0.0807, accu-50: 90.90%, iou: 85.09%, f1: 91.93%, 226.65ms
@20230610_2009 [EP 34/500] took: 0h:8m:25s, ETA: 2d:17h:22m:10s [TRAIN] loss: 0.0465, accu-50: 95.20%, iou: 91.12%, f1: 95.35% 811.06ms [EVAL] [138/138 step] loss: 0.0602, accu-50: 94.10%, iou: 88.67%, f1: 93.98%, 226.31ms
@20230610_2017 [EP 35/500] took: 0h:8m:24s, ETA: 2d:17h:6m:0s [TRAIN] loss: 0.0466, accu-50: 95.31%, iou: 91.10%, f1: 95.34% 811.01ms [EVAL] [138/138 step] loss: 0.0870, accu-50: 87.40%, iou: 84.03%, f1: 91.30%, 226.12ms
@20230610_2025 [EP 36/500] took: 0h:8m:24s, ETA: 2d:16h:57m:36s [TRAIN] loss: 0.0457, accu-50: 95.38%, iou: 91.27%, f1: 95.43% 810.94ms [EVAL] [138/138 step] loss: 0.0695, accu-50: 92.37%, iou: 87.03%, f1: 93.05%, 226.63ms
@20230610_2034 [EP 37/500] took: 0h:8m:23s, ETA: 2d:16h:41m:29s [TRAIN] loss: 0.0454, accu-50: 95.37%, iou: 91.34%, f1: 95.46% 810.98ms [EVAL] [138/138 step] loss: 0.0688, accu-50: 90.77%, iou: 87.16%, f1: 93.12%, 226.47ms
