@20230811_2112 @20230811_2112 [EP 45/300] lr: 0.00045466943993233144, took: 61.43s (avg: 61.43s), ETA: 0d:4h:19m:15s [TRAIN] loss: 339.4220, iou: 0.7847, f1: 0.8786 [EVAL] loss: 881.7228, iou: 0.7080, f1: 0.8281
@20230811_2113 @20230811_2113 [EP 46/300] lr: 0.0004503489763010293, took: 61.56s (avg: 61.56s), ETA: 0d:4h:18m:14s [TRAIN] loss: 360.7370, iou: 0.7806, f1: 0.8760 [EVAL] loss: 1137.3728, iou: 0.6268, f1: 0.7692
@20230811_2114 @20230811_2114 [EP 47/300] lr: 0.00044610988697968423, took: 61.45s (avg: 61.45s), ETA: 0d:4h:17m:13s [TRAIN] loss: 359.9174, iou: 0.7832, f1: 0.8777 [EVAL] loss: 1888.7689, iou: 0.4288, f1: 0.5960
@20230811_2115 @20230811_2115 [EP 48/300] lr: 0.0004419498727656901, took: 61.66s (avg: 61.66s), ETA: 0d:4h:16m:12s [TRAIN] loss: 345.5213, iou: 0.7901, f1: 0.8820 [EVAL] loss: 812.8128, iou: 0.7011, f1: 0.8231
@20230811_2116 @20230811_2116 [EP 49/300] lr: 0.0004378666926641017, took: 61.59s (avg: 61.59s), ETA: 0d:4h:15m:11s [TRAIN] loss: 336.2007, iou: 0.7986, f1: 0.8873 [EVAL] loss: 891.0823, iou: 0.7159, f1: 0.8334
@20230811_2118 @20230811_2118 [EP 50/300] lr: 0.0004338582803029567, took: 61.38s (avg: 61.38s), ETA: 0d:4h:14m:10s [TRAIN] loss: 337.2516, iou: 0.7989, f1: 0.8875 [EVAL] loss: 752.7382, iou: 0.6976, f1: 0.8208
@20230811_2119 @20230811_2119 [EP 51/300] lr: 0.00042992259841412306, took: 61.47s (avg: 61.47s), ETA: 0d:4h:13m:9s [TRAIN] loss: 328.9334, iou: 0.8097, f1: 0.8943 [EVAL] loss: 758.4171, iou: 0.7539, f1: 0.8589
@20230811_2120 @20230811_2120 [EP 52/300] lr: 0.00042605766793712974, took: 61.62s (avg: 61.62s), ETA: 0d:4h:12m:8s [TRAIN] loss: 325.2969, iou: 0.8144, f1: 0.8972 [EVAL] loss: 1280.2216, iou: 0.6356, f1: 0.7754
@20230811_2121 @20230811_2121 [EP 53/300] lr: 0.00042226159712299705, took: 61.52s (avg: 61.52s), ETA: 0d:4h:11m:7s [TRAIN] loss: 327.0044, iou: 0.8173, f1: 0.8989 [EVAL] loss: 887.7062, iou: 0.7214, f1: 0.8372
@20230811_2122 @20230811_2122 [EP 54/300] lr: 0.00041853258153423667, took: 61.61s (avg: 61.61s), ETA: 0d:4h:10m:6s [TRAIN] loss: 326.9549, iou: 0.8190, f1: 0.9000 [EVAL] loss: 903.8576, iou: 0.7070, f1: 0.8273
@20230811_2123 @20230811_2123 [EP 55/300] lr: 0.0004148688749410212, took: 61.53s (avg: 61.53s), ETA: 0d:4h:9m:5s [TRAIN] loss: 331.2070, iou: 0.8204, f1: 0.9008 [EVAL] loss: 764.5499, iou: 0.7724, f1: 0.8710
@20230811_2124 @20230811_2124 [EP 56/300] lr: 0.00041126873111352324, took: 61.49s (avg: 61.49s), ETA: 0d:4h:8m:4s [TRAIN] loss: 329.0335, iou: 0.8238, f1: 0.9029 [EVAL] loss: 861.4185, iou: 0.7329, f1: 0.8451
@20230811_2126 @20230811_2126 [EP 57/300] lr: 0.00040773054934106767, took: 61.53s (avg: 61.53s), ETA: 0d:4h:7m:3s [TRAIN] loss: 318.3101, iou: 0.8287, f1: 0.9059 [EVAL] loss: 1262.0558, iou: 0.6319, f1: 0.7723
@20230811_2127 @20230811_2127 [EP 58/300] lr: 0.00040425272891297936, took: 61.57s (avg: 61.57s), ETA: 0d:4h:6m:2s [TRAIN] loss: 309.9994, iou: 0.8346, f1: 0.9094 [EVAL] loss: 1966.1921, iou: 0.4435, f1: 0.6095
@20230811_2128 @20230811_2128 [EP 59/300] lr: 0.00040083369822241366, took: 61.48s (avg: 61.48s), ETA: 0d:4h:5m:1s [TRAIN] loss: 317.6906, iou: 0.8332, f1: 0.9085 [EVAL] loss: 814.1071, iou: 0.7415, f1: 0.8507
@20230811_2129 @20230811_2129 [EP 60/300] lr: 0.00039747206028550863, took: 61.51s (avg: 61.51s), ETA: 0d:4h:4m:0s [TRAIN] loss: 297.8479, iou: 0.8493, f1: 0.9182 [EVAL] loss: 1249.3799, iou: 0.6202, f1: 0.7612
@20230811_2130 @20230811_2130 [EP 61/300] lr: 0.00039416630170308053, took: 61.51s (avg: 61.51s), ETA: 0d:4h:2m:59s [TRAIN] loss: 304.2640, iou: 0.8473, f1: 0.9170 [EVAL] loss: 1397.0248, iou: 0.6613, f1: 0.7931
@20230811_2131 @20230811_2131 [EP 62/300] lr: 0.00039091508369892836, took: 61.50s (avg: 61.50s), ETA: 0d:4h:1m:58s [TRAIN] loss: 303.7038, iou: 0.8486, f1: 0.9178 [EVAL] loss: 626.6118, iou: 0.7931, f1: 0.8842
@20230811_2132 @20230811_2132 [EP 63/300] lr: 0.0003877170674968511, took: 61.38s (avg: 61.38s), ETA: 0d:4h:0m:57s [TRAIN] loss: 289.1064, iou: 0.8554, f1: 0.9218 [EVAL] loss: 1479.3566, iou: 0.6248, f1: 0.7661
@20230811_2133 @20230811_2133 [EP 64/300] lr: 0.0003845709434244782, took: 61.44s (avg: 61.44s), ETA: 0d:3h:59m:56s [TRAIN] loss: 280.6753, iou: 0.8593, f1: 0.9240 [EVAL] loss: 1106.2970, iou: 0.7100, f1: 0.8289
@20230811_2134 @20230811_2134 [EP 65/300] lr: 0.0003814755182247609, took: 61.55s (avg: 61.55s), ETA: 0d:3h:58m:55s [TRAIN] loss: 280.5654, iou: 0.8603, f1: 0.9246 [EVAL] loss: 683.7750, iou: 0.7779, f1: 0.8745
@20230811_2135 @20230811_2135 [EP 66/300] lr: 0.0003784294822253287, took: 61.50s (avg: 61.50s), ETA: 0d:3h:57m:54s [TRAIN] loss: 291.6078, iou: 0.8580, f1: 0.9233 [EVAL] loss: 1424.6498, iou: 0.6345, f1: 0.7741
@20230811_2136 @20230811_2136 [EP 67/300] lr: 0.0003754317294806242, took: 61.51s (avg: 61.51s), ETA: 0d:3h:56m:53s [TRAIN] loss: 299.9326, iou: 0.8572, f1: 0.9228 [EVAL] loss: 1260.6849, iou: 0.6285, f1: 0.7699
@20230811_2137 @20230811_2137 [EP 68/300] lr: 0.00037248109583742917, took: 62.38s (avg: 62.38s), ETA: 0d:3h:59m:44s [TRAIN] loss: 291.9662, iou: 0.8614, f1: 0.9253 [EVAL] loss: 652.2699, iou: 0.8038, f1: 0.8908
@20230811_2139 @20230811_2138 [EP 69/300] lr: 0.00036957647535018623, took: 61.56s (avg: 61.56s), ETA: 0d:3h:54m:51s [TRAIN] loss: 282.7888, iou: 0.8657, f1: 0.9278 [EVAL] loss: 1481.9701, iou: 0.6409, f1: 0.7784
@20230811_2140 @20230811_2140 [EP 70/300] lr: 0.0003667167911771685, took: 61.72s (avg: 61.72s), ETA: 0d:3h:53m:50s [TRAIN] loss: 276.6989, iou: 0.8694, f1: 0.9299 [EVAL] loss: 782.8339, iou: 0.7789, f1: 0.8751
@20230811_2141 @20230811_2141 [EP 71/300] lr: 0.0003639009955804795, took: 61.56s (avg: 61.56s), ETA: 0d:3h:52m:49s [TRAIN] loss: 270.4799, iou: 0.8726, f1: 0.9317 [EVAL] loss: 1522.9587, iou: 0.6770, f1: 0.8046
@20230811_2142 @20230811_2142 [EP 72/300] lr: 0.00036112815723754466, took: 61.65s (avg: 61.65s), ETA: 0d:3h:51m:48s [TRAIN] loss: 271.2040, iou: 0.8742, f1: 0.9326 [EVAL] loss: 1317.2605, iou: 0.6873, f1: 0.8126
@20230811_2143 @20230811_2143 [EP 73/300] lr: 0.0003583972284104675, took: 61.59s (avg: 61.59s), ETA: 0d:3h:50m:47s [TRAIN] loss: 271.7725, iou: 0.8752, f1: 0.9332 [EVAL] loss: 753.7319, iou: 0.7766, f1: 0.8735
@20230811_2144 @20230811_2144 [EP 74/300] lr: 0.0003557073068805039, took: 61.43s (avg: 61.43s), ETA: 0d:3h:49m:46s [TRAIN] loss: 271.3665, iou: 0.8766, f1: 0.9340 [EVAL] loss: 595.3310, iou: 0.8300, f1: 0.9066
@20230811_2145 @20230811_2145 [EP 75/300] lr: 0.00035305743222124875, took: 61.45s (avg: 61.45s), ETA: 0d:3h:48m:45s [TRAIN] loss: 267.2714, iou: 0.8788, f1: 0.9353 [EVAL] loss: 1165.5444, iou: 0.6715, f1: 0.8016
@20230811_2146 @20230811_2146 [EP 76/300] lr: 0.0003504467895254493, took: 62.43s (avg: 62.43s), ETA: 0d:3h:51m:28s [TRAIN] loss: 264.2845, iou: 0.8816, f1: 0.9369 [EVAL] loss: 842.9378, iou: 0.7702, f1: 0.8694
@20230811_2147 @20230811_2147 [EP 77/300] lr: 0.00034787444747053087, took: 61.48s (avg: 61.48s), ETA: 0d:3h:46m:43s [TRAIN] loss: 260.8163, iou: 0.8836, f1: 0.9380 [EVAL] loss: 1520.4264, iou: 0.6708, f1: 0.7986
@20230811_2148 @20230811_2148 [EP 78/300] lr: 0.0003453396202530712, took: 61.76s (avg: 61.76s), ETA: 0d:3h:45m:42s [TRAIN] loss: 256.7596, iou: 0.8861, f1: 0.9394 [EVAL] loss: 1407.2576, iou: 0.6795, f1: 0.8065
@20230811_2149 @20230811_2149 [EP 79/300] lr: 0.000342841463861987, took: 61.64s (avg: 61.64s), ETA: 0d:3h:44m:41s [TRAIN] loss: 255.5964, iou: 0.8866, f1: 0.9397 [EVAL] loss: 1111.0034, iou: 0.7235, f1: 0.8376
@20230811_2150 @20230811_2150 [EP 80/300] lr: 0.0003403791633900255, took: 61.71s (avg: 61.71s), ETA: 0d:3h:43m:40s [TRAIN] loss: 255.1100, iou: 0.8867, f1: 0.9398 [EVAL] loss: 1191.8094, iou: 0.7003, f1: 0.8220
@20230811_2151 @20230811_2151 [EP 81/300] lr: 0.0003379519912414253, took: 61.69s (avg: 61.69s), ETA: 0d:3h:42m:39s [TRAIN] loss: 252.5545, iou: 0.8878, f1: 0.9404 [EVAL] loss: 682.0455, iou: 0.7981, f1: 0.8871
@20230811_2152 @20230811_2152 [EP 82/300] lr: 0.0003355592198204249, took: 61.49s (avg: 61.49s), ETA: 0d:3h:41m:38s [TRAIN] loss: 256.7312, iou: 0.8874, f1: 0.9401 [EVAL] loss: 2791.4702, iou: 0.4164, f1: 0.5783
