@20230727_2237 [EP 32/500] lr: 0.007452809251844883, took: 0h:4m:52s, ETA: 1d:13h:57m:36s [TRAIN] loss: 0.0653, accu-50: 93.39%, iou: 87.77%, f1: 93.47% 691.89ms [EVAL] [117/117 step] loss: 0.1399, accu-50: 94.93%, iou: 75.62%, f1: 86.01%, 190.13ms
@20230727_2242 [EP 33/500] lr: 0.007384651340544224, took: 0h:4m:52s, ETA: 1d:13h:52m:44s [TRAIN] loss: 0.0645, accu-50: 93.69%, iou: 87.91%, f1: 93.55% 691.99ms [EVAL] [117/117 step] loss: 0.2591, accu-50: 91.72%, iou: 59.17%, f1: 74.09%, 190.19ms
@20230727_2246 [EP 34/500] lr: 0.00731711694970727, took: 0h:4m:52s, ETA: 1d:13h:47m:52s [TRAIN] loss: 0.0633, accu-50: 93.73%, iou: 88.11%, f1: 93.67% 691.83ms [EVAL] [117/117 step] loss: 0.1311, accu-50: 94.48%, iou: 76.93%, f1: 86.89%, 190.19ms
@20230727_2251 [EP 35/500] lr: 0.007250200025737286, took: 0h:4m:52s, ETA: 1d:13h:43m:0s [TRAIN] loss: 0.0628, accu-50: 93.95%, iou: 88.21%, f1: 93.72% 691.92ms [EVAL] [117/117 step] loss: 0.3637, accu-50: 94.07%, iou: 47.11%, f1: 63.63%, 190.08ms
@20230727_2256 [EP 36/500] lr: 0.007183895446360111, took: 0h:4m:52s, ETA: 1d:13h:38m:8s [TRAIN] loss: 0.0643, accu-50: 93.63%, iou: 87.94%, f1: 93.57% 691.94ms [EVAL] [117/117 step] loss: 0.2167, accu-50: 92.65%, iou: 64.62%, f1: 78.33%, 190.18ms
@20230727_2301 [EP 37/500] lr: 0.0071181971579790115, took: 0h:4m:51s, ETA: 1d:13h:25m:33s [TRAIN] loss: 0.0610, accu-50: 94.09%, iou: 88.53%, f1: 93.90% 691.85ms [EVAL] [117/117 step] loss: 0.1961, accu-50: 92.20%, iou: 67.49%, f1: 80.39%, 190.23ms
@20230727_2306 [EP 38/500] lr: 0.0070530991069972515, took: 0h:4m:51s, ETA: 1d:13h:20m:42s [TRAIN] loss: 0.0618, accu-50: 93.91%, iou: 88.39%, f1: 93.82% 691.98ms [EVAL] [117/117 step] loss: 0.0973, accu-50: 93.64%, iou: 82.30%, f1: 90.27%, 190.18ms
@20230727_2311 [EP 39/500] lr: 0.006988597102463245, took: 0h:4m:51s, ETA: 1d:13h:15m:51s [TRAIN] loss: 0.0620, accu-50: 93.85%, iou: 88.36%, f1: 93.80% 692.08ms [EVAL] [117/117 step] loss: 0.2705, accu-50: 92.87%, iou: 57.77%, f1: 72.95%, 190.18ms
@20230727_2315 [EP 40/500] lr: 0.006924684625118971, took: 0h:4m:51s, ETA: 1d:13h:11m:0s [TRAIN] loss: 0.0603, accu-50: 94.13%, iou: 88.65%, f1: 93.97% 691.96ms [EVAL] [117/117 step] loss: 0.1047, accu-50: 87.52%, iou: 81.09%, f1: 89.53%, 190.25ms
@20230727_2320 [EP 41/500] lr: 0.0068613565526902676, took: 0h:4m:51s, ETA: 1d:13h:6m:9s [TRAIN] loss: 0.0575, accu-50: 94.42%, iou: 89.15%, f1: 94.25% 691.75ms [EVAL] [117/117 step] loss: 0.1621, accu-50: 94.95%, iou: 72.28%, f1: 83.79%, 190.23ms
@20230727_2325 [EP 42/500] lr: 0.006798607762902975, took: 0h:4m:51s, ETA: 1d:13h:1m:18s [TRAIN] loss: 0.0583, accu-50: 94.36%, iou: 89.01%, f1: 94.17% 692.04ms [EVAL] [117/117 step] loss: 0.1116, accu-50: 90.91%, iou: 80.02%, f1: 88.84%, 190.18ms
@20230727_2330 [EP 43/500] lr: 0.006736433133482933, took: 0h:4m:51s, ETA: 1d:12h:56m:27s [TRAIN] loss: 0.0564, accu-50: 94.47%, iou: 89.35%, f1: 94.36% 691.99ms [EVAL] [117/117 step] loss: 0.0931, accu-50: 91.30%, iou: 83.01%, f1: 90.69%, 190.32ms
@20230727_2335 [EP 44/500] lr: 0.0066748266108334064, took: 0h:4m:51s, ETA: 1d:12h:51m:36s [TRAIN] loss: 0.0569, accu-50: 94.43%, iou: 89.25%, f1: 94.31% 691.91ms [EVAL] [117/117 step] loss: 0.0944, accu-50: 89.83%, iou: 82.79%, f1: 90.56%, 190.15ms
@20230727_2340 [EP 45/500] lr: 0.0066137840040028095, took: 0h:4m:51s, ETA: 1d:12h:46m:45s [TRAIN] loss: 0.0561, accu-50: 94.53%, iou: 89.40%, f1: 94.39% 692.27ms [EVAL] [117/117 step] loss: 0.0808, accu-50: 91.28%, iou: 85.08%, f1: 91.92%, 190.06ms
@20230727_2345 [EP 46/500] lr: 0.006553299259394407, took: 0h:4m:51s, ETA: 1d:12h:41m:54s [TRAIN] loss: 0.0567, accu-50: 94.46%, iou: 89.30%, f1: 94.33% 691.88ms [EVAL] [117/117 step] loss: 0.2586, accu-50: 95.72%, iou: 59.24%, f1: 74.14%, 189.99ms
@20230727_2349 [EP 47/500] lr: 0.006493367720395327, took: 0h:4m:51s, ETA: 1d:12h:37m:3s [TRAIN] loss: 0.0548, accu-50: 94.72%, iou: 89.63%, f1: 94.52% 691.71ms [EVAL] [117/117 step] loss: 0.1093, accu-50: 89.37%, iou: 80.34%, f1: 89.07%, 190.10ms
@20230727_2354 [EP 48/500] lr: 0.006433984264731407, took: 0h:4m:51s, ETA: 1d:12h:32m:12s [TRAIN] loss: 0.0546, accu-50: 94.70%, iou: 89.67%, f1: 94.54% 691.71ms [EVAL] [117/117 step] loss: 0.2820, accu-50: 61.58%, iou: 56.24%, f1: 71.80%, 190.05ms
@20230727_2359 [EP 49/500] lr: 0.006375144235789776, took: 0h:4m:51s, ETA: 1d:12h:27m:21s [TRAIN] loss: 0.0544, accu-50: 94.74%, iou: 89.71%, f1: 94.56% 691.76ms [EVAL] [117/117 step] loss: 0.1545, accu-50: 79.39%, iou: 73.34%, f1: 84.55%, 189.97ms
@20230728_0004 [EP 50/500] lr: 0.006316841579973698, took: 0h:4m:51s, ETA: 1d:12h:22m:30s [TRAIN] loss: 0.0551, accu-50: 94.40%, iou: 89.57%, f1: 94.49% 691.58ms [EVAL] [117/117 step] loss: 0.0835, accu-50: 92.90%, iou: 84.63%, f1: 91.65%, 190.18ms
