@20230805_2012 [EP 531/1000] lr: 6.086953362682834e-05, took: 0h:4m:53s, ETA: 1d:14h:10m:17s [TRAIN] loss: 0.0203, accu-50: 97.99%, iou: 96.02%, f1: 97.97% 690.49ms [EVAL] [117/117 step] loss: 0.0555, accu-50: 94.51%, iou: 89.50%, f1: 94.45%, 190.02ms
@20230805_2017 [EP 532/1000] lr: 6.0312868299661204e-05, took: 0h:4m:53s, ETA: 1d:14h:5m:24s [TRAIN] loss: 0.0203, accu-50: 97.99%, iou: 96.02%, f1: 97.97% 690.33ms [EVAL] [117/117 step] loss: 0.0555, accu-50: 94.59%, iou: 89.51%, f1: 94.45%, 189.83ms
@20230805_2022 [EP 533/1000] lr: 5.976129250484519e-05, took: 0h:4m:53s, ETA: 1d:14h:0m:31s [TRAIN] loss: 0.0203, accu-50: 97.99%, iou: 96.02%, f1: 97.97% 690.37ms [EVAL] [117/117 step] loss: 0.0557, accu-50: 94.52%, iou: 89.47%, f1: 94.43%, 189.91ms
@20230805_2026 [EP 534/1000] lr: 5.9214762586634606e-05, took: 0h:4m:53s, ETA: 1d:13h:55m:38s [TRAIN] loss: 0.0203, accu-50: 98.00%, iou: 96.03%, f1: 97.97% 690.42ms [EVAL] [117/117 step] loss: 0.0555, accu-50: 94.60%, iou: 89.52%, f1: 94.45%, 189.89ms
@20230805_2031 [EP 535/1000] lr: 5.867322761332616e-05, took: 0h:4m:53s, ETA: 1d:13h:50m:45s [TRAIN] loss: 0.0202, accu-50: 98.01%, iou: 96.04%, f1: 97.98% 690.74ms [EVAL] [117/117 step] loss: 0.0553, accu-50: 94.65%, iou: 89.54%, f1: 94.47%, 190.05ms
@20230805_2036 [EP 536/1000] lr: 5.813664756715298e-05, took: 0h:4m:53s, ETA: 1d:13h:45m:52s [TRAIN] loss: 0.0202, accu-50: 98.00%, iou: 96.04%, f1: 97.98% 690.43ms [EVAL] [117/117 step] loss: 0.0553, accu-50: 94.64%, iou: 89.54%, f1: 94.47%, 190.20ms
@20230805_2041 [EP 537/1000] lr: 5.760497515439056e-05, took: 0h:4m:52s, ETA: 1d:13h:33m:16s [TRAIN] loss: 0.0202, accu-50: 98.01%, iou: 96.05%, f1: 97.98% 691.23ms [EVAL] [117/117 step] loss: 0.0557, accu-50: 94.55%, iou: 89.48%, f1: 94.43%, 190.00ms
@20230805_2046 [EP 538/1000] lr: 5.7078163081314415e-05, took: 0h:4m:52s, ETA: 1d:13h:28m:24s [TRAIN] loss: 0.0202, accu-50: 98.01%, iou: 96.05%, f1: 97.98% 690.13ms [EVAL] [117/117 step] loss: 0.0555, accu-50: 94.53%, iou: 89.52%, f1: 94.45%, 189.83ms
@20230805_2050 [EP 539/1000] lr: 5.655616769217886e-05, took: 0h:4m:52s, ETA: 1d:13h:23m:32s [TRAIN] loss: 0.0201, accu-50: 98.01%, iou: 96.06%, f1: 97.99% 690.65ms [EVAL] [117/117 step] loss: 0.0555, accu-50: 94.54%, iou: 89.50%, f1: 94.45%, 189.98ms
@20230805_2055 [EP 540/1000] lr: 5.603894896921702e-05, took: 0h:4m:52s, ETA: 1d:13h:18m:40s [TRAIN] loss: 0.0201, accu-50: 98.01%, iou: 96.06%, f1: 97.99% 690.20ms [EVAL] [117/117 step] loss: 0.0554, accu-50: 94.61%, iou: 89.53%, f1: 94.46%, 190.15ms
@20230805_2100 [EP 541/1000] lr: 5.5526459618704394e-05, took: 0h:4m:52s, ETA: 1d:13h:13m:48s [TRAIN] loss: 0.0201, accu-50: 98.01%, iou: 96.06%, f1: 97.99% 690.74ms [EVAL] [117/117 step] loss: 0.0556, accu-50: 94.53%, iou: 89.49%, f1: 94.44%, 190.19ms
@20230805_2105 [EP 542/1000] lr: 5.5018655984895304e-05, took: 0h:4m:52s, ETA: 1d:13h:8m:56s [TRAIN] loss: 0.0201, accu-50: 98.01%, iou: 96.07%, f1: 97.99% 690.66ms [EVAL] [117/117 step] loss: 0.0555, accu-50: 94.57%, iou: 89.52%, f1: 94.45%, 190.00ms
@20230805_2110 [EP 543/1000] lr: 5.451549805002287e-05, took: 0h:4m:52s, ETA: 1d:13h:4m:4s [TRAIN] loss: 0.0201, accu-50: 98.01%, iou: 96.07%, f1: 97.99% 690.53ms [EVAL] [117/117 step] loss: 0.0553, accu-50: 94.67%, iou: 89.54%, f1: 94.47%, 190.30ms
@20230805_2115 [EP 544/1000] lr: 5.401694215834141e-05, took: 0h:4m:52s, ETA: 1d:12h:59m:12s [TRAIN] loss: 0.0200, accu-50: 98.02%, iou: 96.07%, f1: 98.00% 690.67ms [EVAL] [117/117 step] loss: 0.0554, accu-50: 94.58%, iou: 89.53%, f1: 94.46%, 189.94ms
@20230805_2119 [EP 545/1000] lr: 5.352294465410523e-05, took: 0h:4m:52s, ETA: 1d:12h:54m:20s [TRAIN] loss: 0.0200, accu-50: 98.02%, iou: 96.08%, f1: 98.00% 690.74ms [EVAL] [117/117 step] loss: 0.0559, accu-50: 94.47%, iou: 89.43%, f1: 94.41%, 189.91ms
@20230805_2124 [EP 546/1000] lr: 5.3033461881568655e-05, took: 0h:4m:51s, ETA: 1d:12h:41m:54s [TRAIN] loss: 0.0200, accu-50: 98.02%, iou: 96.08%, f1: 98.00% 690.72ms [EVAL] [117/117 step] loss: 0.0554, accu-50: 94.56%, iou: 89.52%, f1: 94.46%, 190.19ms
@20230805_2129 [EP 547/1000] lr: 5.254845746094361e-05, took: 0h:4m:51s, ETA: 1d:12h:37m:3s [TRAIN] loss: 0.0200, accu-50: 98.02%, iou: 96.09%, f1: 98.00% 690.74ms [EVAL] [117/117 step] loss: 0.0555, accu-50: 94.55%, iou: 89.51%, f1: 94.45%, 189.97ms
@20230805_2134 [EP 548/1000] lr: 5.2067891374463215e-05, took: 0h:4m:51s, ETA: 1d:12h:32m:12s [TRAIN] loss: 0.0200, accu-50: 98.02%, iou: 96.09%, f1: 98.00% 690.46ms [EVAL] [117/117 step] loss: 0.0553, accu-50: 94.57%, iou: 89.54%, f1: 94.47%, 190.16ms
@20230805_2139 [EP 549/1000] lr: 5.159171632840298e-05, took: 0h:4m:51s, ETA: 1d:12h:27m:21s [TRAIN] loss: 0.0200, accu-50: 98.03%, iou: 96.09%, f1: 98.00% 690.87ms [EVAL] [117/117 step] loss: 0.0553, accu-50: 94.60%, iou: 89.55%, f1: 94.47%, 190.11ms
